workerid,exclusion_num,trial_num,target,first_object,second_object
1,NA,1,"""0""",hat,hat
1,NA,2,0.84,hat,hat
1,NA,3,"""0""",hat,hat
1,NA,4,0.93,hat,hat
1,1,NA,"""equal""",hat,hat
1,2,NA,"""equal""",hat,hat
2,NA,1,"""0""",hat,hat
2,NA,2,0.63,hat,hat
2,NA,3,"""0""",hat,hat
2,NA,4,0.83,hat,hat
2,1,NA,"""equal""",hat,hat
2,2,NA,"""equal""",hat,hat
0,NA,1,"""0""",plant,string
0,NA,2,1,plant,string
0,NA,3,"""0""",plant,string
0,NA,4,1,plant,string
0,1,NA,"""right""",plant,string
0,2,NA,"""equal""",plant,string
0,NA,1,"""0""",plant,hat
0,NA,2,0.66,plant,hat
0,NA,3,"""0""",plant,hat
0,NA,4,0.66,plant,hat
0,1,NA,"""right""",plant,hat
0,2,NA,"""equal""",plant,hat
0,NA,1,"""1""",rulers,books
0,NA,2,0.8,rulers,books
0,NA,3,"""0""",rulers,books
0,NA,4,0.13,rulers,books
0,1,NA,"""right""",rulers,books
0,2,NA,"""equal""",rulers,books
1,NA,1,"""0""",rulers,books
1,NA,2,0.69,rulers,books
1,NA,3,"""0""",rulers,books
1,NA,4,0.63,rulers,books
1,1,NA,"""left""",rulers,books
1,2,NA,"""right""",rulers,books
0,NA,1,"""0""",rulers,chair
0,NA,2,0.37,rulers,chair
0,NA,3,"""0""",rulers,chair
0,NA,4,0.36,rulers,chair
0,1,NA,"""equal""",rulers,chair
0,2,NA,"""equal""",rulers,chair
0,NA,1,"""0""",rulers,rulers
0,NA,2,0.52,rulers,rulers
0,NA,3,"""0""",rulers,rulers
0,NA,4,0.41,rulers,rulers
0,1,NA,"""equal""",rulers,rulers
0,2,NA,"""equal""",rulers,rulers
1,NA,1,"""1""",rulers,rulers
1,NA,2,0.84,rulers,rulers
1,NA,3,"""1""",rulers,rulers
1,NA,4,0.89,rulers,rulers
1,1,NA,"""left""",rulers,rulers
1,2,NA,"""equal""",rulers,rulers
2,NA,1,"""1""",rulers,rulers
2,NA,2,0.61,rulers,rulers
2,NA,3,"""1""",rulers,rulers
2,NA,4,0.89,rulers,rulers
2,1,NA,"""right""",rulers,rulers
2,2,NA,"""equal""",rulers,rulers
0,NA,1,"""1""",tape,string
0,NA,2,1,tape,string
0,NA,3,"""1""",tape,string
0,NA,4,0.32,tape,string
0,1,NA,"""left""",tape,string
0,2,NA,"""equal""",tape,string
0,NA,1,"""0""",tape,hat
0,NA,2,0.47,tape,hat
0,NA,3,"""0""",tape,hat
0,NA,4,0.81,tape,hat
0,1,NA,"""right""",tape,hat
0,2,NA,"""left""",tape,hat
1,NA,1,"""1""",tape,hat
1,NA,2,0.67,tape,hat
1,NA,3,"""0""",tape,hat
1,NA,4,0.74,tape,hat
1,1,NA,"""left""",tape,hat
1,2,NA,"""equal""",tape,hat
0,NA,1,"""1""",tape,plant
0,NA,2,0.81,tape,plant
0,NA,3,"""0""",tape,plant
0,NA,4,0.85,tape,plant
0,1,NA,"""right""",tape,plant
0,2,NA,"""equal""",tape,plant
0,NA,1,"""1""",tape,tape
0,NA,2,0.9,tape,tape
0,NA,3,"""1""",tape,tape
0,NA,4,0.83,tape,tape
0,1,NA,"""right""",tape,tape
0,2,NA,"""equal""",tape,tape
