workerid,exclusion_num,trial_num,target,first_object,second_object
0,NA,1,"""1""",hat,string
0,NA,2,0.16,hat,string
0,NA,3,"""1""",hat,string
0,NA,4,0.65,hat,string
0,1,NA,"""equal""",hat,string
0,2,NA,"""equal""",hat,string
1,NA,1,"""0""",hat,string
1,NA,2,0.39,hat,string
1,NA,3,"""0""",hat,string
1,NA,4,0.82,hat,string
1,1,NA,"""left""",hat,string
1,2,NA,"""equal""",hat,string
2,NA,1,"""1""",hat,string
2,NA,2,0.88,hat,string
2,NA,3,"""1""",hat,string
2,NA,4,0,hat,string
2,1,NA,"""right""",hat,string
2,2,NA,"""equal""",hat,string
3,NA,1,"""0""",hat,string
3,NA,2,1,hat,string
3,NA,3,"""1""",hat,string
3,NA,4,0.76,hat,string
3,1,NA,"""right""",hat,string
3,2,NA,"""equal""",hat,string
0,NA,1,"""0""",hat,plant
0,NA,2,1,hat,plant
0,NA,3,"""1""",hat,plant
0,NA,4,0.58,hat,plant
0,1,NA,"""left""",hat,plant
0,2,NA,"""equal""",hat,plant
1,NA,1,"""0""",hat,plant
1,NA,2,0.75,hat,plant
1,NA,3,"""0""",hat,plant
1,NA,4,0.79,hat,plant
1,1,NA,"""left""",hat,plant
1,2,NA,"""equal""",hat,plant
2,NA,1,"""0""",hat,plant
2,NA,2,0.82,hat,plant
2,NA,3,"""0""",hat,plant
2,NA,4,0.85,hat,plant
2,1,NA,"""equal""",hat,plant
2,2,NA,"""equal""",hat,plant
0,NA,1,"""0""",hat,tape
0,NA,2,0.99,hat,tape
0,NA,3,"""0""",hat,tape
0,NA,4,0.99,hat,tape
0,1,NA,"""right""",hat,tape
0,2,NA,"""equal""",hat,tape
1,NA,1,"""1""",hat,tape
1,NA,2,0.45,hat,tape
1,NA,3,"""1""",hat,tape
1,NA,4,0.77,hat,tape
1,1,NA,"""left""",hat,tape
1,2,NA,"""equal""",hat,tape
2,NA,1,"""0""",hat,tape
2,NA,2,0.84,hat,tape
2,NA,3,"""0""",hat,tape
2,NA,4,0.65,hat,tape
2,1,NA,"""left""",hat,tape
2,2,NA,"""equal""",hat,tape
0,NA,1,"""1""",plant,string
0,NA,2,1,plant,string
0,NA,3,"""0""",plant,string
0,NA,4,0.92,plant,string
0,1,NA,"""right""",plant,string
0,2,NA,"""equal""",plant,string
1,NA,1,"""0""",plant,string
1,NA,2,0.89,plant,string
1,NA,3,"""0""",plant,string
1,NA,4,1,plant,string
1,1,NA,"""equal""",plant,string
1,2,NA,"""equal""",plant,string
2,NA,1,"""1""",plant,string
2,NA,2,0.65,plant,string
2,NA,3,"""1""",plant,string
2,NA,4,0.8,plant,string
2,1,NA,"""left""",plant,string
2,2,NA,"""equal""",plant,string
0,NA,1,"""1""",plant,hat
0,NA,2,0.79,plant,hat
0,NA,3,"""1""",plant,hat
0,NA,4,0.56,plant,hat
0,1,NA,"""right""",plant,hat
0,2,NA,"""equal""",plant,hat
1,NA,1,"""0""",plant,hat
1,NA,2,0.73,plant,hat
1,NA,3,"""0""",plant,hat
1,NA,4,0.93,plant,hat
1,1,NA,"""equal""",plant,hat
1,2,NA,"""equal""",plant,hat
2,NA,1,"""0""",plant,hat
2,NA,2,0.93,plant,hat
2,NA,3,"""0""",plant,hat
2,NA,4,0.95,plant,hat
2,1,NA,"""right""",plant,hat
2,2,NA,"""left""",plant,hat
0,NA,1,"""1""",plant,tape
0,NA,2,0.74,plant,tape
0,NA,3,"""1""",plant,tape
0,NA,4,0.73,plant,tape
0,1,NA,"""left""",plant,tape
0,2,NA,"""equal""",plant,tape
1,NA,1,"""0""",plant,tape
1,NA,2,0.93,plant,tape
1,NA,3,"""0""",plant,tape
1,NA,4,0.82,plant,tape
1,1,NA,"""left""",plant,tape
1,2,NA,"""left""",plant,tape
2,NA,1,"""1""",plant,tape
2,NA,2,1,plant,tape
2,NA,3,"""1""",plant,tape
2,NA,4,1,plant,tape
2,1,NA,"""right""",plant,tape
2,2,NA,"""equal""",plant,tape
3,NA,1,"""0""",plant,tape
3,NA,2,0.51,plant,tape
3,NA,3,"""0""",plant,tape
3,NA,4,0.47,plant,tape
3,1,NA,"""left""",plant,tape
3,2,NA,"""left""",plant,tape
0,NA,1,"""1""",tape,string
0,NA,2,0.97,tape,string
0,NA,3,"""1""",tape,string
0,NA,4,0.11,tape,string
0,1,NA,"""right""",tape,string
0,2,NA,"""equal""",tape,string
1,NA,1,"""1""",tape,string
1,NA,2,0.77,tape,string
1,NA,3,"""1""",tape,string
1,NA,4,0.21,tape,string
1,1,NA,"""left""",tape,string
1,2,NA,"""left""",tape,string
2,NA,1,"""0""",tape,string
2,NA,2,0.98,tape,string
2,NA,3,"""0""",tape,string
2,NA,4,0.97,tape,string
2,1,NA,"""left""",tape,string
2,2,NA,"""right""",tape,string
0,NA,1,"""0""",tape,hat
0,NA,2,0.73,tape,hat
0,NA,3,"""0""",tape,hat
0,NA,4,0.57,tape,hat
0,1,NA,"""equal""",tape,hat
0,2,NA,"""equal""",tape,hat
1,NA,1,"""1""",tape,hat
1,NA,2,0.81,tape,hat
1,NA,3,"""0""",tape,hat
1,NA,4,0.68,tape,hat
1,1,NA,"""right""",tape,hat
1,2,NA,"""equal""",tape,hat
2,NA,1,"""1""",tape,hat
2,NA,2,0.85,tape,hat
2,NA,3,"""0""",tape,hat
2,NA,4,0.32,tape,hat
2,1,NA,"""right""",tape,hat
2,2,NA,"""equal""",tape,hat
3,NA,1,"""0""",tape,hat
3,NA,2,0.59,tape,hat
3,NA,3,"""0""",tape,hat
3,NA,4,0.74,tape,hat
3,1,NA,"""equal""",tape,hat
3,2,NA,"""equal""",tape,hat
0,NA,1,"""0""",tape,plant
0,NA,2,0.64,tape,plant
0,NA,3,"""0""",tape,plant
0,NA,4,0.33,tape,plant
0,1,NA,"""right""",tape,plant
0,2,NA,"""right""",tape,plant
1,NA,1,"""0""",tape,plant
1,NA,2,0.67,tape,plant
1,NA,3,"""0""",tape,plant
1,NA,4,0.79,tape,plant
1,1,NA,"""right""",tape,plant
1,2,NA,"""left""",tape,plant
2,NA,1,"""1""",tape,plant
2,NA,2,0.93,tape,plant
2,NA,3,"""0""",tape,plant
2,NA,4,0.78,tape,plant
2,1,NA,"""right""",tape,plant
2,2,NA,"""equal""",tape,plant
