workerid,language,enjoyment,gender,age,problems,comments,asses,fairprice,education
52,"""English""","""2""","""Female""","""40""","""Nope""","""""","""Yes""","""Yes""","""3"""
53,"""English""","""1""","""Female""","""43""","""no""","""""","""Yes""","""Yes""","""2"""
54,"""English""","""2""","""Female""","""34""","""No problems""","""""","""Yes""","""I think it&quotechars at a pretty fair price right now, but $1.50 would be even better since I&quotecharm only at $12/hr now""","""2"""
55,"""english""","""1""","""Male""","""32""","""nope""","""""","""Yes""","""$2""","""1"""
56,"""English""","""1""","""Male""","""32""","""No.""","""""","""Yes""","""1.20""","""3"""
57,"""English""","""2""","""Female""","""26""","""""","""""","""Yes""","""1.20""","""2"""
58,"""English""","""2""","""Male""","""23""","""""","""""","""Yes""","""1.20""","""2"""
59,"""english""","""1""","""Male""","""30""","""none""","""""","""Yes""","""2""","""3"""
60,"""English""","""1""","""Male""","""27""","""none""","""none""","""Yes""","""$2""","""2"""
61,"""United States""","""1""","""Male""","""42""","""no""","""""","""Yes""","""$1""","""1"""
62,"""English""","""1""","""Other""","""40""","""Nope.""","""""","""Yes""","""1.35""","""3"""
63,"""English""","""2""","""Female""","""25""","""""","""""","""No""","""1.20""","""3"""
64,"""english""","""2""","""Male""","""30""","""""","""easy to follow, good survey""","""Yes""","""1.20""","""2"""
65,"""English""","""2""","""Male""","""23""","""no""","""""","""Yes""","""1.20""","""3"""
66,"""english""","""2""","""Male""","""56""","""No, it worked fine.""","""""","""Yes""","""$1""","""3"""
67,"""english""","""1""","""Male""","""43""","""no""","""""","""No""","""1.50""","""3"""
68,"""English""","""1""","""Male""","""68""","""No""","""I&quotecharve started, but didn&quotechart finish several surveys today which annoyed me due to their construction. This didn&quotechart, so that&quotechars a point in your favor.""","""Yes""","""Real-world fair or mturk fair?""","""3"""
69,"""English""","""2""","""Male""","""36""","""No.""","""""","""Yes""","""1.20""","""2"""
70,"""English""","""2""","""Male""","""28""","""No""","""""","""Yes""","""1.20""","""2"""
71,"""English""","""2""","""Male""","""34""","""""","""""","""No""","""1""","""4"""
72,"""English""","""2""","""Male""","""33""","""no""","""Fun overall""","""Yes""","""1.20""","""3"""
73,"""English""","""2""","""Female""","""41""","""no""","""no comments""","""Yes""","""1""","""3"""
74,"""English""","""1""","""Female""","""32""","""none""","""""","""Yes""","""1.20""","""2"""
75,"""English""","""2""","""Female""","""52""","""No""","""This was fun!""","""Yes""","""yes""","""4"""
76,"""english""","""2""","""Male""","""36""","""no""","""no further comments""","""Yes""","""1""","""3"""
77,"""English""","""2""","""Male""","""24""","""Everything went smoothly.""","""This hit was fun, thanks!""","""Yes""","""1.50""","""2"""
78,"""English""","""2""","""Male""","""32""","""None""","""""","""Yes""","""1.2""","""2"""
79,"""english""","""2""","""Male""","""56""","""no""","""""","""Yes""","""1.20""","""2"""
