workerid,exclusion_num,trial_num,target,first_object,second_object
1,1,NA,"""left""",rulers,books
1,2,NA,"""equal""",rulers,books
2,NA,1,"""1""",rulers,books
2,NA,2,1,rulers,books
2,NA,3,"""0""",rulers,books
2,NA,4,0.96,rulers,books
2,1,NA,"""left""",rulers,books
2,2,NA,"""equal""",rulers,books
0,NA,1,"""1""",rulers,chair
0,NA,2,0.54,rulers,chair
0,NA,3,"""0""",rulers,chair
0,NA,4,0.49,rulers,chair
0,1,NA,"""right""",rulers,chair
0,2,NA,"""left""",rulers,chair
1,NA,1,"""1""",rulers,chair
1,NA,2,0.69,rulers,chair
1,NA,3,"""1""",rulers,chair
1,NA,4,0.74,rulers,chair
1,1,NA,"""right""",rulers,chair
1,2,NA,"""equal""",rulers,chair
2,NA,1,"""1""",rulers,chair
2,NA,2,0.18,rulers,chair
2,NA,3,"""1""",rulers,chair
2,NA,4,0.21,rulers,chair
2,1,NA,"""right""",rulers,chair
2,2,NA,"""right""",rulers,chair
3,NA,1,"""1""",rulers,chair
3,NA,2,0.66,rulers,chair
3,NA,3,"""0""",rulers,chair
3,NA,4,0.2,rulers,chair
3,1,NA,"""left""",rulers,chair
3,2,NA,"""equal""",rulers,chair
0,NA,1,"""1""",rulers,cinderblocks
0,NA,2,0.85,rulers,cinderblocks
0,NA,3,"""1""",rulers,cinderblocks
0,NA,4,0.77,rulers,cinderblocks
0,1,NA,"""left""",rulers,cinderblocks
0,2,NA,"""equal""",rulers,cinderblocks
1,NA,1,"""0""",rulers,cinderblocks
1,NA,2,0.99,rulers,cinderblocks
1,NA,3,"""0""",rulers,cinderblocks
1,NA,4,1,rulers,cinderblocks
1,1,NA,"""left""",rulers,cinderblocks
1,2,NA,"""left""",rulers,cinderblocks
2,NA,1,"""1""",rulers,cinderblocks
2,NA,2,0.56,rulers,cinderblocks
2,NA,3,"""1""",rulers,cinderblocks
2,NA,4,0.5,rulers,cinderblocks
2,1,NA,"""right""",rulers,cinderblocks
2,2,NA,"""equal""",rulers,cinderblocks
